Date,Open,High,Low,Close,Adj Close,Volume
2020-07-24,3.601441,3.921569,3.601441,3.741497,3.741497,759196
2020-07-27,3.761505,4.145658,3.761505,4.109644,4.109644,651489
2020-07-28,4.029612,4.101641,3.821529,3.921569,3.921569,641743
2020-07-29,3.985594,4.185674,3.889556,4.157663,4.157663,338615
2020-07-30,4.241697,6.718687,4.241697,4.949980,4.949980,3992402
2020-07-31,6.500000,12.170000,5.900000,6.990000,6.990000,29886800
2020-08-03,6.000000,6.140000,5.300000,5.480000,5.480000,2644900
2020-08-04,5.750000,5.880000,5.380000,5.620000,5.620000,1206600
2020-08-05,5.620000,5.660000,5.240000,5.440000,5.440000,1132800
2020-08-06,5.220000,5.330000,4.900000,5.250000,5.250000,933500
2020-08-07,5.500000,5.530000,5.060000,5.180000,5.180000,516000
